store_id,product_name,week,units,revenue
N6760,ginger_doser,2023-10-30,386,1192.01
N4614,mango_doser,2023-01-09,56,149.75
N4287,ginger_doser,2023-02-27,315,886.52
P2008,mango_shot,2023-07-31,216,238.8
P1150,mango_doser,2023-06-12,48,155.74
M4637,mango_shot,2023-05-29,256,250.74
N2314,ginger_doser,2023-06-12,226,550.84
M141,mango_shot,2023-03-20,127,127.36
M6208,ginger_shot,2023-10-02,297,301.51
M2135,mango_doser,2023-05-22,196,646.92
P2642,mango_shot,2023-02-27,88,73.63
P4819,mango_doser,2023-02-20,108,341.43
N3692,ginger_doser,2023-12-11,285,1048.25
T1873,mango_shot,2023-03-13,350,350.24
M4400,mango_shot,2023-05-29,447,459.69
T2951,ginger_doser,2023-09-25,62,197.67
M4533,turmeric_doser,2023-12-25,151,447.3
N1838,ginger_doser,2023-08-21,509,1569.38
N1191,mango_doser,2023-12-25,21,17.97
M307,turmeric_doser,2023-12-25,29,115.02
T5593,ginger_shot,2023-09-04,414,409.94
N3979,ginger_shot,2023-12-11,460,425.86
P1169,ginger_doser,2023-11-27,589,1713.14
P4819,mango_doser,2023-07-03,119,371.38
T4885,mango_shot,2023-05-22,53,57.71
P2827,ginger_shot,2023-10-23,154,143.28
P6636,mango_doser,2023-12-18,195,599.0
P5675,ginger_shot,2023-11-13,128,113.43
T3619,ginger_shot,2023-11-13,104,99.5
M6406,ginger_shot,2023-10-09,1837,1999.61
N5962,turmeric_doser,2023-12-04,8,31.95
N2074,mango_doser,2023-09-11,164,503.16
P7269,turmeric_doser,2023-07-03,43,159.75
M1400,mango_doser,2023-05-29,45,185.69
M3527,ginger_doser,2023-07-10,518,1395.67
N7183,mango_doser,2023-01-16,23,53.91
N4384,ginger_doser,2023-07-03,36,102.43
N160,ginger_doser,2023-07-10,61,160.47
N3328,mango_doser,2023-04-17,45,101.86
N126,ginger_doser,2023-03-20,125,370.45
M739,ginger_shot,2023-11-06,511,483.57
M966,mango_shot,2023-05-08,164,169.15
N5635,mango_doser,2023-11-06,265,868.55
N1702,mango_doser,2023-11-27,43,161.73
N201,turmeric_doser,2023-09-25,61,198.09
T3619,ginger_doser,2023-10-30,86,239.6
M6373,turmeric_doser,2023-10-30,205,705.55
N6653,turmeric_doser,2023-11-20,14,57.51
N2175,turmeric_doser,2023-08-07,16,31.95
M6022,mango_shot,2023-12-18,61,67.66
M2135,mango_shot,2023-12-04,332,364.17
M141,ginger_doser,2023-06-26,301,1078.2
T17,mango_doser,2023-08-07,167,461.23
N3563,mango_doser,2023-12-25,78,155.74
P4819,mango_shot,2023-04-24,205,169.15
M1315,ginger_doser,2023-11-06,376,1078.2
M2713,mango_doser,2023-02-27,91,317.47
M4400,turmeric_doser,2023-06-05,267,917.09
P2827,ginger_doser,2023-09-18,125,365.39
N1256,turmeric_doser,2023-08-28,37,102.24
P5842,mango_doser,2023-08-07,31,95.84
M733,turmeric_doser,2023-06-26,196,685.01
T2964,mango_doser,2023-06-12,47,167.72
M739,ginger_doser,2023-01-16,385,1126.12
M1558,mango_doser,2023-12-04,511,1587.35
N7136,mango_doser,2023-09-25,84,221.63
N4514,ginger_doser,2023-04-03,166,469.47
M5226,ginger_doser,2023-09-04,863,2384.02
T6405,mango_shot,2023-09-11,130,125.37
M3685,mango_doser,2023-07-10,127,299.5
P5842,ginger_doser,2023-12-25,72,257.57
P5714,mango_shot,2023-12-18,51,63.68
T115,mango_shot,2023-09-04,186,204.97
N12,ginger_shot,2023-08-28,1199,1158.18
T7142,mango_doser,2023-03-27,36,77.87
M317,mango_doser,2023-11-20,28,101.83
T2951,mango_doser,2023-04-24,23,59.9
P7177,mango_shot,2023-01-02,108,117.41
M995,mango_doser,2023-01-23,263,730.78
P5842,mango_doser,2023-01-16,15,53.91
N457,mango_doser,2023-02-27,46,131.78
N1191,ginger_doser,2023-03-20,32,25.04
N2813,turmeric_doser,2023-11-27,46,134.19
M6407,ginger_shot,2023-10-16,1696,1824.28
N5758,ginger_doser,2023-11-27,990,2983.02
M3634,turmeric_doser,2023-08-28,151,455.99
M3393,mango_shot,2023-10-09,131,145.38
M1775,turmeric_doser,2023-12-04,27,115.02
P1435,mango_doser,2023-10-09,142,419.3
M6208,mango_shot,2023-04-10,71,75.62
M3685,mango_shot,2023-11-13,229,238.8
N7050,ginger_doser,2023-07-10,94,298.75
T4809,ginger_doser,2023-01-30,219,670.88
M3358,ginger_shot,2023-07-31,799,799.98
M5393,mango_shot,2023-07-10,88,65.67
P6590,mango_shot,2023-05-15,77,73.63
M2732,ginger_shot,2023-01-23,828,774.11
M1321,ginger_shot,2023-06-26,1014,1187.43
M6208,ginger_doser,2023-07-17,127,305.49
T3283,turmeric_doser,2023-08-28,21,57.51
M5450,mango_shot,2023-01-23,396,346.26
T2645,mango_shot,2023-08-21,118,125.37
N2973,ginger_shot,2023-04-24,191,152.56
P6102,ginger_shot,2023-01-02,510,541.28
N4935,mango_doser,2023-12-04,87,287.52
M2779,ginger_doser,2023-08-21,281,790.68
P3422,ginger_doser,2023-07-10,126,383.36
M6208,turmeric_doser,2023-09-18,35,121.41
N4586,ginger_doser,2023-11-06,40,47.92
N1511,turmeric_doser,2023-10-09,24,51.12
T3857,ginger_doser,2023-08-21,52,167.72
T2964,ginger_shot,2023-01-23,129,129.35
M6135,mango_doser,2023-07-10,40,131.78
P6636,turmeric_doser,2023-09-25,88,306.72
M5825,turmeric_doser,2023-06-05,92,324.1
N4935,ginger_doser,2023-05-22,193,463.78
P6636,mango_shot,2023-11-20,305,316.41
P6011,ginger_doser,2023-08-14,561,1545.42
M141,ginger_shot,2023-06-05,393,452.05
N4632,mango_doser,2023-10-09,22,65.89
N1078,mango_doser,2023-02-13,281,976.37
T2223,mango_shot,2023-03-06,40,43.78
