store_id,store_name,store_type,customer_name,place_name,town
N7268,Local Nesco South Mistridge,convenience,Nesco,South Mistridge,Mistridge
M1231,Local Mainsburys South Yoxminster,convenience,Mainsburys,South Yoxminster,Yoxminster
T7092,Torrisons North Moorstead,main,Torrisons,North Moorstead,Moorstead
M5415,Mainsburys Lower Foxglade,main,Mainsburys,Lower Foxglade,Foxglade
M1147,Local Mainsburys West Redwick,convenience,Mainsburys,West Redwick,Redwick
M2116,Mainsburys Upper Kingsholt,main,Mainsburys,Upper Kingsholt,Kingsholt
N5050,Local Nesco South Brindleford,convenience,Nesco,South Brindleford,Brindleford
P3454,Platerows Upper Dunbridge,main,Platerows,Upper Dunbridge,Dunbridge
P4765,Little Platerows South Litchwood,convenience,Platerows,South Litchwood,Litchwood
N3967,Nesco North Midcombe,main,Nesco,North Midcombe,Midcombe
P819,Platerows South Gildermere,main,Platerows,South Gildermere,Gildermere
T818,Torrisons Blisworth,main,Torrisons,Blisworth,Blisworth
M203,Mainsburys West Banebridge,main,Mainsburys,West Banebridge,Banebridge
P97,Little Platerows East Dunbridge,convenience,Platerows,East Dunbridge,Dunbridge
M7134,Mainsburys South Halberton,main,Mainsburys,South Halberton,Halberton
M3188,Mainsburys Upper Denthorpe,main,Mainsburys,Upper Denthorpe,Denthorpe
M3697,Mainsburys North Norbury,main,Mainsburys,North Norbury,Norbury
T6337,Torrisons North Fairholt,main,Torrisons,North Fairholt,Fairholt
P4214,Platerows Windmere,main,Platerows,Windmere,Windmere
M165,Local Mainsburys East Avenbury,convenience,Mainsburys,East Avenbury,Avenbury
N3054,Local Nesco South Drayminster,convenience,Nesco,South Drayminster,Drayminster
M2135,Mainsburys South Rothermere,main,Mainsburys,South Rothermere,Rothermere
N210,Nesco South Pendlestone,main,Nesco,South Pendlestone,Pendlestone
N245,Local Nesco Lower Thornwick,convenience,Nesco,Lower Thornwick,Thornwick
P7185,Little Platerows Lower Mossthorpe,convenience,Platerows,Lower Mossthorpe,Mossthorpe
P5892,Platerows East Bramwyck,main,Platerows,East Bramwyck,Bramwyck
T4357,Torrisons West Lunsfield,main,Torrisons,West Lunsfield,Lunsfield
P2887,Little Platerows Cherriford,convenience,Platerows,Cherriford,Cherriford
P4121,Platerows East Loxborough,main,Platerows,East Loxborough,Loxborough
M1974,Local Mainsburys North Stonleigh,convenience,Mainsburys,North Stonleigh,Stonleigh
M3770,Mainsburys Lower Avenbury,main,Mainsburys,Lower Avenbury,Avenbury
N6582,Nesco Upper Blisworth,main,Nesco,Upper Blisworth,Blisworth
P6681,Little Platerows North Uxmere,convenience,Platerows,North Uxmere,Uxmere
P2226,Little Platerows Upper Quetherby,convenience,Platerows,Upper Quetherby,Quetherby
T242,Torrisons South Greystead,main,Torrisons,South Greystead,Greystead
M1474,Local Mainsburys East Bleakmere,convenience,Mainsburys,East Bleakmere,Bleakmere
M1102,Local Mainsburys East Dunsmere,convenience,Mainsburys,East Dunsmere,Dunsmere
M6500,Mainsburys Lower Greythorne,main,Mainsburys,Lower Greythorne,Greythorne
T4641,Torrisons North Clovenshire,main,Torrisons,North Clovenshire,Clovenshire
M7235,Local Mainsburys Lower Thistlemere,convenience,Mainsburys,Lower Thistlemere,Thistlemere
N488,Nesco Harbury,main,Nesco,Harbury,Harbury
M2279,Local Mainsburys South Rindleton,convenience,Mainsburys,South Rindleton,Rindleton
M5594,Local Mainsburys North Uxmere,convenience,Mainsburys,North Uxmere,Uxmere
P251,Platerows South Norcombe,main,Platerows,South Norcombe,Norcombe
N3120,Nesco Lower Deepmere,main,Nesco,Lower Deepmere,Deepmere
